ASVID,D273,D274,D275,D276,D277,D278,D279,D291,D292,D293,D294,D295,D296,D307,D308,D309,D311,D312,D313,D348,D349,D350,D351,D352,D353,D354,D362,D363,D364,D365,D366,D370,D371,D372,D373,D375,D377,D378,D379,D380,D381,D382,D383,D385,D386,D387,D388,D390,D391,D392,D393,D394,D395,D396,D404,D405,D406,D407,D408,D409,D410,D411,D412,D413,D414,D415,D416,D417,D439,D440,D441,D442,D443,D444,D445,D453,D454,D455,D456,D457,D458,D459,D467,D468,D469,D470,D471,D472,D473,D474,D475,D476,D477,D478,D479,D480,D502,D503,D504,D505,D506,D507,D508,D509,D510,D511,D512,D513,D514,D515,D516,D517,D518,D519,D520,D521,D522,D531,D532,D534,D535,D537,D538,D540,D541,D542,D543
01bfcc437afabc6596a21b7b371d6ca4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,67,0,0,0,0,0,0,0,49,0,34,0,0,0,0,0,0,0,0,0,0,0,156,113,41,0,56,0,88,0,102,76,112,0,0,0,0,0,39,38,0,0,0,0,144,300,0,0,0,0,0,0,0,0,108,96,0,0,0,0,0,0,0,100,0,0,0,51,239,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,627,863,0,0,86,61,575,132,0,46,95,320,274,0,674,1294,365
f1331b0e47bf9b77a19df26f87f06b53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,115,96,186,0,0,0,474,0,4840,117,75,0,0,0,0,269,444,0,0,0,653,0,0,45,0,0,0,0,0,0
59ce740fd1a1f80600ec872c28f51c80,0,0,0,31,0,85,79,0,277,0,56,153,101,275,295,0,0,0,0,0,0,0,0,88,0,85,0,0,0,0,132,147,252,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,141,178,461,263,188,140,155,178,171,633,145,152,117,0,0,55,48,41,0,0,0,0,0,51,0,0,0,0,88,0,68,117,179,0,112,114,148,78,36,0,68,0,185,98,167,0,0,52,0,0,0,0,0,0,0,127,0,0,98,0,0,0,80,0,0,0,0,86,215
beb744e92c02bb22cecbf446883e06b1,0,0,0,0,0,64,2971,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,31,0,0,393,0,0,0,0,0,0,311,0,0,0,0,0,1156,1477,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7cec588b313e462730969339ce4e4e53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,303,0,0,0,0,0,0,0,0,225,0,0,2396,2111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,723,0,0,0,0,0,0,0,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7479c4378ae7e84010e92ff0663ba6e5,141,180,389,55,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,210,0,485,596,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,213,255,0,705,0,0,0,646,642,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,521,0,0,0,0,104,248,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,141,0,0,0,0,0,0,0,0
c8801ce401b29f70da90d5e9badb5cd6,0,0,0,16,0,149,819,0,230,0,108,156,123,0,0,0,0,13,0,0,0,0,0,184,139,123,0,0,106,0,237,0,0,0,158,455,49,24,86,106,154,501,0,0,0,0,0,0,0,0,0,0,0,17,0,0,30,0,0,401,127,0,0,0,0,0,0,58,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,14,339,0,116,520,420,1127,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ab4827e461698297d88e7bda9a40d4be,0,0,0,0,0,76,96,0,0,0,0,0,12,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,198,0,0,0,0,0,0,97,136,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,27,0,2039,0,0,0,63,0,0,0,92,3456,159
09bf1199827590e51fa9a8b007c4dc79,0,0,0,20,292,240,45,0,0,35,142,115,64,0,0,0,111,345,118,0,0,0,0,0,0,304,0,0,0,0,0,0,0,17,97,109,0,0,0,138,424,197,0,0,365,865,545,0,0,0,0,31,38,142,0,0,0,18,105,320,333,0,0,23,30,146,280,87,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,347,0,0,0,0,0,54,287,0,0,0,0,47,142,0,0,0,0,0,0,0,46,0,0,0,0,0,19,146,0,0,0,0,0,0,0,0,0,0
09cdc81dffbcce1546feeb7dc09c082b,0,0,0,0,48,531,0,0,0,0,0,34,0,0,0,0,0,213,0,0,0,0,0,960,4589,24,0,0,0,0,380,0,0,0,0,0,0,0,0,0,31,0,0,0,0,42,0,0,0,0,0,69,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0
