source_file,date,depth_dbar,temperature_C,month
5903274_Sprof.nc,2011-08-27 23:18:36.998861568,300,4.155925130558899,2011-08
5903274_Sprof.nc,2011-08-27 23:18:36.998861568,500,3.7907399425603217,2011-08
5903274_Sprof.nc,2011-09-02 05:32:58.999902720,50,6.744199593134879,2011-09
5903274_Sprof.nc,2011-09-02 05:32:58.999902720,300,4.144070055655902,2011-09
5903274_Sprof.nc,2011-09-02 05:32:58.999902720,500,3.801560169638833,2011-09
5903274_Sprof.nc,2011-09-07 09:35:05.999282688,50,6.718842035621104,2011-09
5903274_Sprof.nc,2011-09-07 09:35:05.999282688,300,4.162900138471741,2011-09
5903274_Sprof.nc,2011-09-07 09:35:05.999282688,500,3.89002508053818,2011-09
5903274_Sprof.nc,2011-09-12 13:24:34.998667008,50,6.743469865112274,2011-09
5903274_Sprof.nc,2011-09-12 13:24:34.998667008,300,4.240149924851721,2011-09
5903274_Sprof.nc,2011-09-12 13:24:34.998667008,500,3.867000102996826,2011-09
5903274_Sprof.nc,2011-09-17 18:03:54.003643392,50,6.955415251693921,2011-09
5903274_Sprof.nc,2011-09-17 18:03:54.003643392,300,4.259629933949327,2011-09
5903274_Sprof.nc,2011-09-17 18:03:54.003643392,500,3.828630027885083,2011-09
5903274_Sprof.nc,2011-09-22 22:45:04.003139584,50,7.786224123875856,2011-09
5903274_Sprof.nc,2011-09-22 22:45:04.003139584,300,4.16796978309867,2011-09
5903274_Sprof.nc,2011-09-22 22:45:04.003139584,500,3.858344983367715,2011-09
5903274_Sprof.nc,2011-09-28 05:34:37.000096256,50,7.57675983261106,2011-09
5903274_Sprof.nc,2011-09-28 05:34:37.000096256,300,4.292520168761257,2011-09
5903274_Sprof.nc,2011-09-28 05:34:37.000096256,500,3.8386400655363104,2011-09
5903274_Sprof.nc,2011-10-03 12:19:01.997909760,50,8.142606613655516,2011-10
5903274_Sprof.nc,2011-10-03 12:19:01.997909760,300,4.248355027695652,2011-10
5903274_Sprof.nc,2011-10-03 12:19:01.997909760,500,3.8782900292499107,2011-10
